,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
36,I838739,25.0,28.0,0.0,522.0,3.2188758248682006,3.332204510175204,0.0,6.257667587882639,71.11890408755062
42,I849250,23.0,23.0,2.0,417.0,3.1354942159291497,3.1354942159291497,0.6931471805599453,6.0330862217988015,71.00416321817973
72,I030962,16.0,16.0,10.0,606.0,2.772588722239781,2.772588722239781,2.302585092994046,6.406879986069314,70.97084068207454
147,I823813,10.0,11.0,40.0,2820.0,2.302585092994046,2.3978952727983707,3.6888794541139363,7.944492163932159,70.96296719866442
34,I071139,27.0,27.0,0.0,304.0,3.295836866004329,3.295836866004329,0.0,5.717027701406222,70.91352758124344
127,I828442,11.0,11.0,16.0,9222.0,2.3978952727983707,2.3978952727983707,2.772588722239781,9.129347212766652,70.89342989172297
60,I830888,19.0,19.0,3.0,1054.0,2.9444389791664403,2.9444389791664403,1.0986122886681098,6.960347729101308,70.84617265531914
86,D043675,14.0,15.0,12.0,943.0,2.6390573296152584,2.70805020110221,2.4849066497880004,6.849066282633458,70.73915098199808
56,I310257,20.0,20.0,4.0,296.0,2.995732273553991,2.995732273553991,1.3862943611198906,5.69035945432406,70.67924710582206
39,I833471,24.0,24.0,1.0,719.0,3.1780538303479458,3.1780538303479458,0.0,6.577861357721047,70.62231393876912
308,I837482,6.0,12.0,129.0,2757.0,1.791759469228055,2.4849066497880004,4.859812404361672,7.921898411023797,70.59773716528512
41,I001135,24.0,21.0,0.0,934.0,3.1780538303479458,3.044522437723423,0.0,6.839476438228843,70.37100490667191
61,I844892,19.0,19.0,3.0,366.0,2.9444389791664403,2.9444389791664403,1.0986122886681098,5.902633333401366,69.86881965537826
40,D001713,24.0,24.0,1.0,286.0,3.1780538303479458,3.1780538303479458,0.0,5.655991810819852,69.76851791531307
87,I006248,14.0,14.0,8.0,766.0,2.6390573296152584,2.6390573296152584,2.0794415416798357,6.641182169740591,69.53901276104696
77,I808015,15.0,16.0,6.0,404.0,2.70805020110221,2.772588722239781,1.791759469228055,6.0014148779611505,69.28889934931301
111,D046261,12.0,12.0,11.0,1284.0,2.4849066497880004,2.4849066497880004,2.3978952727983707,7.157735484249907,69.17527747214197
169,D027140,9.0,18.0,16.0,510.0,2.1972245773362196,2.8903717578961645,2.772588722239781,6.234410725718371,68.91335331324687
211,D047346,8.0,10.0,51.0,1021.0,2.0794415416798357,2.302585092994046,3.9318256327243257,6.928537818164665,68.8706575093832
97,I061551,13.0,14.0,15.0,166.0,2.5649493574615367,2.6390573296152584,2.70805020110221,5.111987788356544,68.86578167166007
109,I814985,12.0,16.0,9.0,401.0,2.4849066497880004,2.772588722239781,2.1972245773362196,5.993961427306569,68.7847276064405
366,I818358,5.0,40.0,15.0,606.0,1.6094379124341003,3.6888794541139363,2.70805020110221,6.406879986069314,68.63989163416653
48,I815562,22.0,22.0,0.0,181.0,3.091042453358316,3.091042453358316,0.0,5.198497031265826,68.52025367837646
73,I834197,16.0,16.0,2.0,917.0,2.772588722239781,2.772588722239781,0.6931471805599453,6.821107472256465,68.35341051392832
78,I860013,15.0,16.0,3.0,550.0,2.70805020110221,2.772588722239781,1.0986122886681098,6.309918278226516,68.27014661297382
62,I816981,19.0,19.0,0.0,409.0,2.9444389791664403,2.9444389791664403,0.0,6.013715156042802,67.89995145000263
63,I041214,19.0,19.0,0.0,320.0,2.9444389791664403,2.9444389791664403,0.0,5.768320995793772,67.66458663982601
65,D051311,18.0,18.0,1.0,503.0,2.8903717578961645,2.8903717578961645,0.0,6.220590170099739,67.57959582257524
149,D069499,10.0,10.0,9.0,2017.0,2.302585092994046,2.302585092994046,2.1972245773362196,7.6093665379542115,67.4884890703332
128,D034571,11.0,11.0,9.0,701.0,2.3978952727983707,2.3978952727983707,2.1972245773362196,6.55250788703459,67.38846547859397
148,D040566,10.0,11.0,17.0,346.0,2.302585092994046,2.3978952727983707,2.833213344056216,5.846438775057725,67.38272249950528
49,I326580,22.0,22.0,0.0,55.0,3.091042453358316,3.091042453358316,0.0,4.007333185232471,67.38060045428239
64,D070300,19.0,19.0,0.0,224.0,2.9444389791664403,2.9444389791664403,0.0,5.4116460518550396,67.32102193675162
66,D039338,18.0,18.0,1.0,380.0,2.8903717578961645,2.8903717578961645,0.0,5.940171252720432,67.30929053231131
208,C5222006,8.0,13.0,12.0,1041.0,2.0794415416798357,2.5649493574615367,2.4849066497880004,6.947937068614969,67.12582300487065
124,D045714,11.0,14.0,8.0,229.0,2.3978952727983707,2.6390573296152584,2.0794415416798357,5.43372200355424,67.01145018292854
207,D003225,8.0,13.0,15.0,592.0,2.0794415416798357,2.5649493574615367,2.70805020110221,6.3835066348840055,67.01130240264617
75,I324154,16.0,16.0,0.0,829.0,2.772588722239781,2.772588722239781,0.0,6.720220155135295,66.92398277132394
110,I339822,12.0,14.0,4.0,453.0,2.4849066497880004,2.6390573296152584,1.3862943611198906,6.115892125483034,66.83459295568565
